Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id
2023-06-13 01:13:12,Warren Davidson ????,742735530287304704,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","?? NEWS - Today I filed the SEC Stabilization Act to restructure the @SECGov and #FireGaryGensler. 

U.S. capital markets must be protected from a tyrannical Chairman, including the current one. It’s time for real reform and to fire @GaryGensler as Chair of the SEC. Statement ?? https://t.co/0VUHxUAhtB",,,17675.0,1668305460368121857
2023-06-14 09:40:55,Fabrizio Romano,330262748,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mbappé on Messi: “He’s one of greatest player in the history of football. It's never good news when someone like Messi leaves”. ????????

“I don't quite understand why so many people were so relieved that he was gone. He didn't get the respect he deserved in France”, told Gazzetta. https://t.co/cBW7JUfyp5",,,5658.0,1668795620943962113
2023-06-13 23:00:03,Genshin Impact,1072404907230060544,,-1,en,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","?Day 1?
Commemoration of Version 3.7 Update!
#GenshinImpact Twitter Event - Set 4

How to Participate:
? Follow @GenshinImpact
? Retweet this post

And you can instantly receive the event results!

Event Rules: https://t.co/Fg8hBpGwJu

#FollowGenshinImpact",,,26186.0,1668634341071806464
2023-06-14 20:00:15,chuck lee,197695309,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MeidasTouch: Another major development slipped under the radar today due to the news surrounding Donald Trump's arrest and arraignment,…",,,3058.0,1668951482656501761
2023-06-14 20:00:15,Nicola carlton,224316030,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @UniteSharon: Unite really is delivering for workers based in Scottish airports. This is a cracking deal for our Falck members based at…,,,1.0,1668951482413006854
2023-06-14 20:00:15,Eng. Naif Alharbi,1935538087,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @PitchBook: Learn more about recent shifts in secondary investing and some of the key players in our report here: https://t.co/Sc0IpWvf9m,,,1.0,1668951482366849026
2023-06-14 20:00:15,angstfree,57527542,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @WarrenDavidson: ?? NEWS - Today I filed the SEC Stabilization Act to restructure the @SECGov and #FireGaryGensler. 

U.S. capital market…",,,17675.0,1668951482329370625
2023-06-14 20:00:15,?,2769495545,,-1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @charts_k: .@BTS_twt j-hope in Louis Vuitton's new Keepall bag campaign

https://t.co/FsHnkOAnvH https://t.co/6u1bNXzNzl",,,29429.0,1668951482190950402
2023-06-14 20:00:15,ivan11114444,1225260559131607041,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @X03715713: @KennyLauderdal3 The news is 30 years behind in analyzing trend. And they don't even bother to look the file name of this ro…,,,1.0,1668951481691586560
2023-06-14 20:00:15,just Bill,1667528220420321280,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",US Treasury admits sanctions threaten dollar hegemony — RT Business News https://t.co/PqkLWBkv8G,,,.0,1668951481381265409
